Starting JUCE FFT OSC (press Enter to quit)
OSC connected to 127.0.0.1:57122
FFT produced count=1024 first=0.33931
DIAG_INPUT: rms=0.00209649 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00107151 peak=0 playbackGain=1
FFT produced count=1024 first=0.0272617
DIAG_INPUT: rms=0.00252658 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00121848 peak=0 playbackGain=1
FFT produced count=1024 first=0.0734581
DIAG_INPUT: rms=0.00467263 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00078568 peak=0 playbackGain=1
FFT produced count=1024 first=0.073949
DIAG_INPUT: rms=0.0012388 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00119281 peak=0 playbackGain=1
FFT produced count=1024 first=0.205295
DIAG_INPUT: rms=0.00112505 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00158267 peak=0 playbackGain=1
FFT produced count=1024 first=0.316516
DIAG_INPUT: rms=0.00169099 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00144494 peak=0 playbackGain=1
FFT produced count=1024 first=1.01153
DIAG_INPUT: rms=0.0137966 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00253146 peak=0 playbackGain=1
FFT produced count=1024 first=0.111863
DIAG_INPUT: rms=0.000739963 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000767874 peak=0 playbackGain=1
FFT produced count=1024 first=0.278659
DIAG_INPUT: rms=0.00334175 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000945989 peak=0 playbackGain=1
FFT produced count=1024 first=0.173834
DIAG_INPUT: rms=0.00136994 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000922663 peak=0 playbackGain=1
FFT produced count=1024 first=0.0691847
DIAG_INPUT: rms=0.000881323 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00222019 peak=0 playbackGain=1
FFT produced count=1024 first=0.0869696
DIAG_INPUT: rms=0.00236119 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00197758 peak=0 playbackGain=1
FFT produced count=1024 first=0.149284
DIAG_INPUT: rms=0.00140574 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00150532 peak=0 playbackGain=1
FFT produced count=1024 first=0.0175818
DIAG_INPUT: rms=0.000908806 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00109814 peak=0 playbackGain=1
FFT produced count=1024 first=0.198141
DIAG_INPUT: rms=0.0011425 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00954781 peak=0 playbackGain=1
FFT produced count=1024 first=0.186138
DIAG_INPUT: rms=0.00199179 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00108991 peak=0 playbackGain=1
FFT produced count=1024 first=0.180164
DIAG_INPUT: rms=0.000829126 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000821194 peak=0 playbackGain=1
FFT produced count=1024 first=0.415072
DIAG_INPUT: rms=0.00215067 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00226541 peak=0 playbackGain=1
FFT produced count=1024 first=0.191745
DIAG_INPUT: rms=0.00117441 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00269114 peak=0 playbackGain=1
FFT produced count=1024 first=0.202099
DIAG_INPUT: rms=0.00272481 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000926591 peak=0 playbackGain=1
FFT produced count=1024 first=0.0652588
DIAG_INPUT: rms=0.000777789 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000734591 peak=0 playbackGain=1
FFT produced count=1024 first=0.0802909
DIAG_INPUT: rms=0.00260097 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00110578 peak=0 playbackGain=1
FFT produced count=1024 first=0.522768
DIAG_INPUT: rms=0.00108897 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00235575 peak=0 playbackGain=1
FFT produced count=1024 first=0.0427189
DIAG_INPUT: rms=0.000888793 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000638446 peak=0 playbackGain=1
FFT produced count=1024 first=0.168274
DIAG_INPUT: rms=0.000932542 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000954401 peak=0 playbackGain=1
FFT produced count=1024 first=0.384607
DIAG_INPUT: rms=0.00241462 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00105393 peak=0 playbackGain=1
FFT produced count=1024 first=0.142975
DIAG_INPUT: rms=0.000739346 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00112395 peak=0 playbackGain=1
FFT produced count=1024 first=0.339151
DIAG_INPUT: rms=0.00111446 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00554776 peak=0 playbackGain=1
FFT produced count=1024 first=0.0685965
DIAG_INPUT: rms=0.000743443 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00260531 peak=0 playbackGain=1
FFT produced count=1024 first=0.180958
DIAG_INPUT: rms=0.000746069 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000868173 peak=0 playbackGain=1
FFT produced count=1024 first=0.0849233
DIAG_INPUT: rms=0.000973587 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000865037 peak=0 playbackGain=1
FFT produced count=1024 first=0.0394671
DIAG_INPUT: rms=0.00155428 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000948678 peak=0 playbackGain=1
FFT produced count=1024 first=0.132488
DIAG_INPUT: rms=0.000882655 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000554048 peak=0 playbackGain=1
FFT produced count=1024 first=0.142015
DIAG_INPUT: rms=0.00323104 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00169721 peak=0 playbackGain=1
FFT produced count=1024 first=0.153548
DIAG_INPUT: rms=0.000909813 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0162514 peak=0 playbackGain=1
FFT produced count=1024 first=0.0475637
DIAG_INPUT: rms=0.0137065 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0139771 peak=0 playbackGain=1
FFT produced count=1024 first=0.0591842
DIAG_INPUT: rms=0.010795 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00807082 peak=0 playbackGain=1
FFT produced count=1024 first=0.105814
DIAG_INPUT: rms=0.00821898 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00709586 peak=0 playbackGain=1
FFT produced count=1024 first=0.802485
DIAG_INPUT: rms=0.00512206 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00501801 peak=0 playbackGain=1
FFT produced count=1024 first=0.55871
DIAG_INPUT: rms=0.00475729 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000788302 peak=0 playbackGain=1
FFT produced count=1024 first=0.011853
DIAG_INPUT: rms=0.00130544 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000849572 peak=0 playbackGain=1
FFT produced count=1024 first=0.109918
DIAG_INPUT: rms=0.00163178 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00080722 peak=0 playbackGain=1
FFT produced count=1024 first=0.0717854
DIAG_INPUT: rms=0.000961668 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000883906 peak=0 playbackGain=1
FFT produced count=1024 first=0.787598
DIAG_INPUT: rms=0.0149494 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0123905 peak=0 playbackGain=1
FFT produced count=1024 first=0.0345922
DIAG_INPUT: rms=0.0134224 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0125697 peak=0 playbackGain=1
FFT produced count=1024 first=0.41002
DIAG_INPUT: rms=0.0135753 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0114647 peak=0 playbackGain=1
FFT produced count=1024 first=0.0470055
DIAG_INPUT: rms=0.0111311 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00753444 peak=0 playbackGain=1
FFT produced count=1024 first=0.358184
DIAG_INPUT: rms=0.00703671 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0055447 peak=0 playbackGain=1
FFT produced count=1024 first=0.382249
DIAG_INPUT: rms=0.00707649 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00769897 peak=0 playbackGain=1
FFT produced count=1024 first=0.828665
DIAG_INPUT: rms=0.00496626 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00641804 peak=0 playbackGain=1
FFT produced count=1024 first=0.586017
DIAG_INPUT: rms=0.00692699 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00699709 peak=0 playbackGain=1
FFT produced count=1024 first=0.309795
DIAG_INPUT: rms=0.00474655 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00407934 peak=0 playbackGain=1
FFT produced count=1024 first=0.24363
DIAG_INPUT: rms=0.00743572 peak=0 playbackGain=1
DIAG_INPUT: rms=0.0148181 peak=0 playbackGain=1
FFT produced count=1024 first=0.296984
DIAG_INPUT: rms=0.013398 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00557239 peak=0 playbackGain=1
FFT produced count=1024 first=0.12844
DIAG_INPUT: rms=0.000682999 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000816919 peak=0 playbackGain=1
FFT produced count=1024 first=0.111375
DIAG_INPUT: rms=0.00074955 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000977928 peak=0 playbackGain=1
FFT produced count=1024 first=0.154948
DIAG_INPUT: rms=0.000796298 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000809951 peak=0 playbackGain=1
FFT produced count=1024 first=0.10619
DIAG_INPUT: rms=0.00086619 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000845975 peak=0 playbackGain=1
FFT produced count=1024 first=0.173402
DIAG_INPUT: rms=0.000658751 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00104021 peak=0 playbackGain=1
FFT produced count=1024 first=0.11488
DIAG_INPUT: rms=0.000914114 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00077801 peak=0 playbackGain=1
FFT produced count=1024 first=0.187973
DIAG_INPUT: rms=0.00113253 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000963466 peak=0 playbackGain=1
FFT produced count=1024 first=0.154863
DIAG_INPUT: rms=0.000951029 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00178911 peak=0 playbackGain=1
FFT produced count=1024 first=0.0107973
DIAG_INPUT: rms=0.0017543 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00111931 peak=0 playbackGain=1
FFT produced count=1024 first=0.185408
DIAG_INPUT: rms=0.000788059 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00259208 peak=0 playbackGain=1
FFT produced count=1024 first=0.143966
DIAG_INPUT: rms=0.000905121 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000934708 peak=0 playbackGain=1
FFT produced count=1024 first=0.252984
DIAG_INPUT: rms=0.000864596 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00128332 peak=0 playbackGain=1
FFT produced count=1024 first=0.164016
DIAG_INPUT: rms=0.00109355 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000820134 peak=0 playbackGain=1
FFT produced count=1024 first=0.0289638
DIAG_INPUT: rms=0.000772549 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000905639 peak=0 playbackGain=1
FFT produced count=1024 first=0.208049
DIAG_INPUT: rms=0.000753237 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000708733 peak=0 playbackGain=1
FFT produced count=1024 first=0.0835989
DIAG_INPUT: rms=0.000731267 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000895459 peak=0 playbackGain=1
FFT produced count=1024 first=0.095265
DIAG_INPUT: rms=0.000912899 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000861239 peak=0 playbackGain=1
FFT produced count=1024 first=0.131343
DIAG_INPUT: rms=0.00100623 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000683597 peak=0 playbackGain=1
FFT produced count=1024 first=0.0763382
DIAG_INPUT: rms=0.00116982 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000633071 peak=0 playbackGain=1
FFT produced count=1024 first=0.133473
DIAG_INPUT: rms=0.000991791 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000895196 peak=0 playbackGain=1
FFT produced count=1024 first=0.060466
DIAG_INPUT: rms=0.00133176 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000984751 peak=0 playbackGain=1
FFT produced count=1024 first=0.169503
DIAG_INPUT: rms=0.000926759 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000985573 peak=0 playbackGain=1
FFT produced count=1024 first=0.12176
DIAG_INPUT: rms=0.00101908 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00119876 peak=0 playbackGain=1
FFT produced count=1024 first=0.184597
DIAG_INPUT: rms=0.000839358 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000988108 peak=0 playbackGain=1
FFT produced count=1024 first=0.142606
DIAG_INPUT: rms=0.000905414 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000861942 peak=0 playbackGain=1
FFT produced count=1024 first=0.0276449
DIAG_INPUT: rms=0.001005 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000984468 peak=0 playbackGain=1
FFT produced count=1024 first=0.125481
DIAG_INPUT: rms=0.000985396 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000820657 peak=0 playbackGain=1
FFT produced count=1024 first=0.0845626
DIAG_INPUT: rms=0.00063466 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000966027 peak=0 playbackGain=1
FFT produced count=1024 first=0.0876082
DIAG_INPUT: rms=0.000864522 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000771357 peak=0 playbackGain=1
FFT produced count=1024 first=0.182567
DIAG_INPUT: rms=0.000726693 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000862693 peak=0 playbackGain=1
FFT produced count=1024 first=0.0556708
DIAG_INPUT: rms=0.00122765 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000760068 peak=0 playbackGain=1
FFT produced count=1024 first=0.158986
DIAG_INPUT: rms=0.000692431 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00190267 peak=0 playbackGain=1
FFT produced count=1024 first=0.0564191
DIAG_INPUT: rms=0.000890201 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00104272 peak=0 playbackGain=1
FFT produced count=1024 first=0.180802
DIAG_INPUT: rms=0.00105708 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000703798 peak=0 playbackGain=1
FFT produced count=1024 first=0.131484
DIAG_INPUT: rms=0.000949801 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000950342 peak=0 playbackGain=1
FFT produced count=1024 first=0.0735678
DIAG_INPUT: rms=0.00105135 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000755916 peak=0 playbackGain=1
FFT produced count=1024 first=0.120878
DIAG_INPUT: rms=0.000826656 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000876509 peak=0 playbackGain=1
FFT produced count=1024 first=0.0173939
DIAG_INPUT: rms=0.000636218 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00104533 peak=0 playbackGain=1
FFT produced count=1024 first=0.18248
DIAG_INPUT: rms=0.000716325 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000833214 peak=0 playbackGain=1
FFT produced count=1024 first=0.117916
DIAG_INPUT: rms=0.00101755 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000847459 peak=0 playbackGain=1
FFT produced count=1024 first=0.0660465
DIAG_INPUT: rms=0.0013015 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000754563 peak=0 playbackGain=1
FFT produced count=1024 first=0.212611
DIAG_INPUT: rms=0.000842957 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000839012 peak=0 playbackGain=1
FFT produced count=1024 first=0.0447458
DIAG_INPUT: rms=0.00081221 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000913605 peak=0 playbackGain=1
FFT produced count=1024 first=0.153383
DIAG_INPUT: rms=0.00102177 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00132339 peak=0 playbackGain=1
FFT produced count=1024 first=0.0320693
DIAG_INPUT: rms=0.00084576 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000871141 peak=0 playbackGain=1
FFT produced count=1024 first=0.126786
DIAG_INPUT: rms=0.000852518 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00108053 peak=0 playbackGain=1
FFT produced count=1024 first=0.158423
DIAG_INPUT: rms=0.000844614 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000995521 peak=0 playbackGain=1
FFT produced count=1024 first=0.0409387
DIAG_INPUT: rms=0.00102576 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000773734 peak=0 playbackGain=1
FFT produced count=1024 first=0.154823
DIAG_INPUT: rms=0.00087368 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000930318 peak=0 playbackGain=1
FFT produced count=1024 first=0.00667398
DIAG_INPUT: rms=0.000984343 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000873944 peak=0 playbackGain=1
FFT produced count=1024 first=0.20565
DIAG_INPUT: rms=0.0007938 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000850428 peak=0 playbackGain=1
FFT produced count=1024 first=0.122948
DIAG_INPUT: rms=0.000776578 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000754875 peak=0 playbackGain=1
FFT produced count=1024 first=0.0133819
DIAG_INPUT: rms=0.000892906 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000754801 peak=0 playbackGain=1
FFT produced count=1024 first=0.1861
DIAG_INPUT: rms=0.000650226 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000834171 peak=0 playbackGain=1
FFT produced count=1024 first=0.0806406
DIAG_INPUT: rms=0.00067807 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00103432 peak=0 playbackGain=1
FFT produced count=1024 first=0.117766
DIAG_INPUT: rms=0.000905506 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000911066 peak=0 playbackGain=1
FFT produced count=1024 first=0.157572
DIAG_INPUT: rms=0.00100814 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00100678 peak=0 playbackGain=1
FFT produced count=1024 first=0.0530327
DIAG_INPUT: rms=0.000826995 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000680059 peak=0 playbackGain=1
FFT produced count=1024 first=0.15095
DIAG_INPUT: rms=0.000829786 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000721772 peak=0 playbackGain=1
FFT produced count=1024 first=0.0372289
DIAG_INPUT: rms=0.000741626 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000629311 peak=0 playbackGain=1
FFT produced count=1024 first=0.10781
